,School,logit_probabilities,rf_probabilities,xgb_probabilities,nn_probabilities
8117,Chattanooga,6.942684863548218e-08,0.0,0.0027895893,0.0
8118,Chicago State,3.303196476173228e-20,0.0,0.0027692902,0.0
8119,Cincinnati,6.1373858707798465e-12,0.0,0.0027690942,0.0
8120,Clemson,7.58963646310614e-08,0.0,0.0027786708,0.0
8121,Cleveland State,1.8439896481211753e-16,0.0,0.0028123963,0.0
8122,Coastal Carolina,3.628643130003435e-10,0.0,0.0027866343,0.0
8123,Colgate,3.171757771949829e-12,0.0,0.0028426626,0.0
8124,College of Charleston,1.2724038847793107e-11,0.0,0.002775158,0.0
8125,Colorado,3.4081234467596207e-07,0.0,0.0027691124,0.0
8126,Colorado State,8.015838530666828e-07,0.0,0.0028144193,0.0
8127,Columbia,1.4389464412991423e-20,0.0,0.0027785702,0.0
8128,Connecticut,0.00027532154113198837,0.0,0.0028015515,0.0
8129,Coppin State,2.6922187146156936e-17,0.0,0.0027691242,0.0
8130,Cornell,2.913038448033952e-15,0.0,0.0027744907,0.0
8131,Creighton,0.00030136747382790023,0.0,0.002803873,0.05
8132,Dartmouth,2.9544408688259034e-15,0.0,0.002795707,0.0
8133,Davidson,1.0056620937770583e-06,0.0,0.0028662717,0.0
8134,Dayton,9.57204130362606e-09,0.0,0.002811706,0.0
8135,Delaware,1.0860379506930886e-08,0.0,0.0028237712,0.0
8136,Delaware State,1.708851300160338e-19,0.0,0.0027692523,0.0
8137,Denver,1.1589115476232655e-16,0.0,0.0027691608,0.0
8138,DePaul,2.0322536130663664e-10,0.0,0.0027786708,0.0
8139,Detroit Mercy,3.3913006721126593e-14,0.0,0.0028010004,0.0
8140,Drake,2.3530409796998388e-05,0.0,0.002809027,0.0
8141,Drexel,4.178070693981733e-13,0.0,0.0027921696,0.0
8142,Duke,0.16980843090931305,0.03125,0.002951168,0.05
8143,Duquesne,1.2992997587570586e-12,0.0,0.002778562,0.0
8144,East Carolina,9.734953622935196e-11,0.0,0.0027691196,0.0
8145,East Tennessee State,2.2990726948674544e-11,0.0,0.002778562,0.0
8146,Eastern Illinois,2.649655669083582e-20,0.0,0.0027692553,0.0
8147,Eastern Kentucky,6.477893464734708e-14,0.0,0.002769087,0.0
8148,Eastern Michigan,2.3045432895909514e-17,0.0,0.0027691608,0.0
8149,Eastern Washington,1.8016788429349276e-14,0.0,0.002826381,0.0
8150,Elon,5.057307211452288e-16,0.0,0.002769165,0.0
8151,Evansville,8.167922227496524e-16,0.0,0.002778562,0.0
8152,Fairfield,4.7758452484844686e-15,0.0,0.002769165,0.0
8153,Fairleigh Dickinson,6.569398792323284e-21,0.0,0.002778559,0.0
8154,Florida,1.1438291480647991e-07,0.0,0.0027865553,0.0
8155,Florida A&M,4.622053861319957e-19,0.0,0.002769155,0.0
8156,Florida Atlantic,2.947035423742478e-11,0.0,0.0028149583,0.0
8157,Florida Gulf Coast,2.2977791032924064e-13,0.0,0.0028038672,0.0
8158,Florida International,1.0567644932750442e-12,0.0,0.0027786382,0.0
