School,City State,State,State_abrv,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC,Lat,Long,,,,
Kentucky,Lexington Kentucky,Kentucky,KY,1903,2023,120,3100,2360,739,0.762,17.65,6.69,54,56,33,60,17,8,37.839333,-84.27002,,,,
North Carolina,Chapel Hill North Carolina,North Carolina,NC,1911,2023,113,3170,2328,842,0.734,15.75,7.05,51,39,26,52,21,6,35.782169,-80.793457,,,,
UCLA,Los Angeles California,California,CA,1920,2023,104,2852,1964,888,0.689,15.65,6.96,42,31,4,51,19,11,36.778259,-119.417931,,,,
Kansas,Lawrence Kansas,Kansas,KS,1899,2023,125,3243,2365,878,0.729,15.87,7.24,47,63,16,50,16,4,38.5,-98,,,,
Duke,Durham North Carolina,North Carolina,NC,1906,2023,118,3167,2254,913,0.712,16.3,6.7,50,23,26,44,17,5,35.782169,-80.793457,,,,
Louisville,Louisville Kentucky,Kentucky,KY,1912,2023,109,2864,1895,969,0.662,13.07,6.55,35,23,17,43,10,3,37.839333,-84.27002,,,,
Syracuse,Syracuse New York,New York,NY,1901,2023,122,3014,2061,953,0.684,9.62,4.01,30,10,5,41,6,1,43,-75,,,,
Villanova,Villanova Pennsylvania,Pennsylvania,PA,1921,2023,103,2816,1854,962,0.658,10.42,5.81,26,14,8,41,7,3,41.203323,-77.194527,,,,
Indiana,Bloomington Indiana,Indiana,IN,1901,2023,123,2988,1893,1095,0.634,13.97,8.03,28,22,0,40,8,5,40.273502,-86.126976,,,,
Notre Dame,Notre Dame Indiana,Indiana,IN,1897,2023,119,3013,1943,1069,0.645,10.04,5.75,25,1,1,37,1,0,40.273502,-86.126976,,,,
Arizona,Tucson Arizona,Arizona,AZ,1905,2023,116,2824,1864,959,0.66,9.34,5.12,28,25,8,36,4,1,34.048927,-111.093735,,,,
Texas,Austin Texas,Texas,TX,1906,2023,117,2973,1855,1118,0.624,6.83,3.77,13,25,3,36,3,0,31,-100,,,,
Michigan State,East Lansing Michigan,Michigan,MI,1899,2023,124,2912,1782,1130,0.612,11.71,7.84,25,16,6,35,10,2,44.182205,-84.506836,,,,
Ohio State,Columbus Ohio,Ohio,OH,1899,2023,124,2988,1836,1152,0.614,11.99,7.42,24,22,5,35,11,1,40.367474,-82.996216,,,,
Arkansas,Fayetteville Arkansas,Arkansas,AR,1924,2023,100,2752,1768,984,0.642,7.98,3.24,18,26,7,34,6,1,34.799999,-92.199997,,,,
Connecticut,Storrs Connecticut,Connecticut,CT,1901,2023,117,2709,1722,987,0.636,6.97,1.2,17,27,8,34,5,4,41.599998,-72.699997,,,,
Marquette,Milwaukee Wisconsin,Wisconsin,WI,1917,2023,106,2738,1689,1049,0.617,9.18,4.83,22,3,1,34,3,1,44.5,-89.5,,,,
Cincinnati,Cincinnati Ohio,Ohio,OH,1902,2023,122,2925,1870,1055,0.639,11.44,5.01,25,25,12,33,6,2,40.367474,-82.996216,,,,
Oklahoma,Norman Oklahoma,Oklahoma,OK,1908,2023,116,2869,1745,1124,0.608,9.76,6.54,19,14,7,33,5,0,36.084621,-96.921387,,,,
Purdue,West Lafayette Indiana,Indiana,IN,1897,2023,125,2944,1891,1053,0.642,12.19,7.75,24,24,1,33,2,0,40.273502,-86.126976,,,,
Temple,Philadelphia Pennsylvania,Pennsylvania,PA,1895,2023,127,3090,1967,1123,0.637,6.36,2.69,9,20,10,33,2,0,41.203323,-77.194527,,,,
Illinois,Champaign Illinois,Illinois,IL,1906,2023,118,2905,1862,1043,0.641,13.12,7.67,29,18,3,32,5,0,40,-89,,,,
Georgetown,Washington D.C.,Washington D.C.,DC,1907,2023,115,2823,1710,1113,0.606,6.66,3.95,20,11,8,31,5,1,38.9072,-77.0369,,,,
Kansas State,Manhattan Kansas,Kansas,KS,1906,2023,118,2911,1698,1213,0.583,10.25,6.3,16,19,2,31,4,0,38.5,-98,,,,
Michigan,Ann Arbor Michigan,Michigan,MI,1918,2023,106,2755,1681,1074,0.61,10.97,7.75,23,15,3,31,8,1,44.182205,-84.506836,,,,
Brigham Young,Provo Utah,Utah,UT,1903,2023,121,3027,1902,1125,0.628,7.77,3.64,12,25,3,30,0,0,39.41922,-111.950684,,,,
St. John's (NY),Queens New York,New York,NY,1908,2023,116,3029,1958,1071,0.646,8.52,4.94,15,14,3,30,2,0,43,-75,,,,
West Virginia,Morgantown West Virginia,West Virginia,WV,1904,2023,114,2972,1833,1139,0.617,7.56,2.9,19,16,13,30,2,0,39,-80.5,,,,
Maryland,College Park Maryland,Maryland,MD,1924,2023,100,2700,1627,1073,0.603,10.22,5.36,24,7,4,29,2,1,39.045753,-76.641273,,,,
Oklahoma State,Stillwater Oklahoma,Oklahoma,OK,1908,2023,114,2937,1719,1218,0.585,8.88,5.85,19,19,4,29,6,2,36.084621,-96.921387,,,,
Utah,Salt Lake City Utah,Utah,UT,1909,2023,115,2918,1864,1054,0.639,8.29,3.77,21,30,5,29,4,1,39.41922,-111.950684,,,,
Iowa,Iowa City Iowa,Iowa,IA,1893,2023,126,2932,1727,1204,0.589,11.54,7.31,21,8,3,28,3,0,42.032974,-93.581543,,,,
Missouri,Columbia Missouri,Missouri,MO,1907,2023,117,2904,1691,1213,0.582,8.79,6,14,15,8,28,0,0,38.573936,-92.60376,,,,
Xavier,Cincinnati Ohio,Ohio,OH,1920,2023,102,2635,1574,1061,0.597,6.01,3.88,12,18,9,28,0,0,40.367474,-82.996216,,,,
NC State,Raleigh North Carolina,North Carolina,NC,1913,2023,111,2905,1789,1116,0.616,10.95,5.86,17,13,17,27,3,2,35.782169,-80.793457,,,,
Memphis,Memphis Tennessee,Tennessee,TN,1956,2023,68,2045,1367,678,0.668,8.91,3.75,16,18,11,26,3,0,35.860119,-86.660156,,,,
New Mexico State,Las Cruces New Mexico,New Mexico,NM,1905,2023,113,2704,1606,1096,0.594,1.45,-0.28,5,21,13,26,1,0,34.307144,-106.018066,,,,
Pittsburgh,Pittsburgh Pennsylvania,Pennsylvania,PA,1906,2023,116,2882,1658,1224,0.575,5.21,4.2,13,11,4,26,1,0,41.203323,-77.194527,,,,
Wisconsin,Madison Wisconsin,Wisconsin,WI,1899,2023,125,2931,1684,1247,0.575,8.85,7.8,18,20,3,26,4,1,44.5,-89.5,,,,
Princeton,Princeton New Jersey,New Jersey,NJ,1901,2023,123,2903,1790,1112,0.617,1.42,-3.6,4,31,1,25,1,0,39.833851,-74.871826,,,,
Gonzaga,Spokane Washington,Washington,WA,1944,2023,72,2110,1400,710,0.664,4.16,0.09,15,27,20,24,2,0,47.751076,-120.740135,,,,
Louisiana State,Baton Rouge Louisiana,Louisiana,LA,1909,2023,115,2850,1631,1219,0.572,5.96,4.46,13,12,1,24,4,0,30.39183,-92.329102,,,,
Pennsylvania,Philadelphia Pennsylvania,Pennsylvania,PA,1897,2023,122,2961,1818,1142,0.614,0.08,-2.93,6,38,1,24,1,0,41.203323,-77.194527,,,,
Tennessee,Knoxville Tennessee,Tennessee,TN,1909,2023,114,2809,1724,1083,0.614,8.92,5.33,14,13,5,24,0,0,35.860119,-86.660156,,,,
Virginia,Charlottesville Virginia,Virginia,VA,1906,2023,118,2898,1701,1196,0.587,7.12,5.53,15,11,3,24,3,1,37.926868,-78.024902,,,,
Alabama,Tuscaloosa Alabama,Alabama,AL,1913,2023,110,2830,1745,1084,0.617,7.77,4.81,16,11,8,23,0,0,32.31823,-86.902298,,,,
Creighton,Omaha Nebraska,Nebraska,NE,1912,2023,103,2687,1637,1050,0.609,4.28,3.57,6,16,12,23,0,0,41.5,-100,,,,
Florida,Gainesville Florida,Florida,FL,1921,2023,102,2646,1491,1154,0.564,8.06,4.99,15,9,4,23,5,2,27.994402,-81.760254,,,,
Houston,Houston Texas,Texas,TX,1951,2023,73,2148,1315,833,0.612,6.5,2.86,12,7,8,23,6,0,31,-100,,,,
Wake Forest,Winston-Salem North Carolina,North Carolina,NC,1906,2023,117,2870,1588,1282,0.553,7.99,6.11,17,4,5,23,1,0,35.782169,-80.793457,,,,
Western Kentucky,Bowling Green Kentucky,Kentucky,KY,1922,2023,102,2816,1859,957,0.66,3.31,-0.19,11,29,19,23,1,0,37.839333,-84.27002,,,,
