School,City State,State,State_abrv,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC,Lat,Long,,,,
Florida International,Miami Florida,Florida,FL,1988,2023,36,1049,426,623,0.406,-8.06,-3.41,0,1,1,1,0,0,27.994402,-81.760254,,,,
Gardner-Webb,Boiling Springs North Carolina,North Carolina,NC,2003,2023,21,634,297,337,0.468,-7.33,-4.51,0,1,1,1,0,0,35.782169,-80.793457,,,,
Grand Canyon,Phoenix Arizona,Arizona,AZ,2014,2023,10,289,183,106,0.633,0.59,-3.43,0,1,1,1,0,0,34.048927,-111.093735,,,,
Hartford,West Hartford Connecticut,Connecticut,CT,1985,2023,39,1137,485,652,0.427,-9.38,-5.52,0,0,1,1,0,0,41.599998,-72.699997,,,,
Houston Christian,Houston Texas,Texas,TX,1974,2023,29,811,325,486,0.401,-12.19,-5.87,0,2,1,1,0,0,31,-100,,,,
IUPUI,Indianapolis Indiana,Indiana,IN,1999,2023,25,741,330,411,0.445,-6.8,-2.86,0,1,1,1,0,0,40.273502,-86.126976,,,,
Lipscomb,Nashville Tennessee,Tennessee,TN,2004,2023,20,598,316,282,0.528,-5.26,-4.17,0,3,1,1,0,0,35.860119,-86.660156,,,,
Longwood,Farmville Virginia,Virginia,VA,2008,2023,16,487,183,304,0.376,-13.36,-5.51,0,1,1,1,0,0,37.926868,-78.024902,,,,
North Dakota,Grand Forks North Dakota,North Dakota,ND,1905,2023,30,584,325,259,0.557,-8.48,-3.92,0,1,3,1,0,0,47.650589,-100.437012,,,,
North Florida,Jacksonville Florida,Florida,FL,2010,2023,14,424,205,219,0.483,-6.32,-1.75,0,3,1,1,0,0,27.994402,-81.760254,,,,
Northern Colorado,Greeley Colorado,Colorado,CO,1911,2023,44,834,450,384,0.54,-4.15,-3.55,0,3,1,1,0,0,39.113014,-105.358887,,,,
Northwestern,Evanston Illinois,Illinois,IL,1905,2023,118,2701,1125,1575,0.417,3.6,7.37,0,2,0,1,0,0,40,-89,,,,
Saint Francis (PA),Loretto Pennsylvania,Pennsylvania,PA,1956,2023,68,1836,817,1019,0.445,-9.31,-4.51,0,2,1,1,0,0,41.203323,-77.194527,,,,
Southeast Missouri State,Cape Girardeau Missouri,Missouri,MO,1992,2023,32,926,384,542,0.415,-8.64,-4.71,0,1,1,1,0,0,38.573936,-92.60376,,,,
Southeastern Louisiana,Hammond Louisiana,Louisiana,LA,1981,2023,42,1199,521,678,0.435,-10.9,-6.14,0,5,1,1,0,0,30.39183,-92.329102,,,,
Southern Utah,Cedar City Utah,Utah,UT,1989,2023,35,1005,446,559,0.444,-6.86,-3.59,0,3,3,1,0,0,39.41922,-111.950684,,,,
Stony Brook,Stony Brook New York,New York,NY,2000,2023,24,712,360,352,0.506,-7,-5.24,0,4,1,1,0,0,43,-75,,,,
UC Davis,Davis California,California,CA,2008,2023,16,463,209,254,0.451,-5.51,-2.73,0,2,1,1,0,0,36.778259,-119.417931,,,,
UT Arlington,Arlington Texas,Texas,TX,1969,2023,55,1561,718,843,0.46,-7.87,-4.24,0,3,1,1,0,0,31,-100,,,,
